pacrat;pacreu;lbrat;lbreu;interception;controlerate;passedecisive;aeriengagne;aerienperdue;tir_en_dehord_de_surface;tir_six_metre;tir_surface_reparation;potentiel
2;4;0.7;0.4;0;0;0;0;0;0;0;0;5.83
1.3;6.6;0.1;0.3;0.5;0.1;0;0;0.3;0;0;0.1;6.22
1.3;4;0;0.3;0.3;0;0;0;0;0;0;0;6.06
0;4;0;0;0;0;0;0;0;0;0;0;5.92
0.8;5.6;0.5;0.6;0.2;0;0;0.1;0.3;0.3;0;0.1;6.15
0.7;2.7;0;0.3;0;0;0;0;0;0;0;0;6
0;2;0;0;0;1;0;0;0;0;0;0;4.59
1.1;5.9;0.8;0.4;0.2;0.5;0;0.5;0.2;0;0;0.1;6.13
1;2.3;0;0.3;0;0.7;0;0.3;0;0;0;0.7;6.12
0.8;4.5;0.2;0.5;0.2;0.1;0;0;0.2;0.2;0;0.1;6.07
0;3.3;0;0;0.3;0;0;0.3;0;0;0;0;6.13
0.9;4.9;0.2;0.5;0.1;0.1;0;0.2;0.5;0;0;0.1;6.16
0.5;3.8;0.3;0;0.5;0.8;0;0.5;0.3;0;0;0;6.15
1.2;8.3;0.3;0.5;0.6;0.2;0;0.5;0;0;0;0;6.2
1;5.7;0.9;0.3;0.6;0;0;0;0;0;0;0;6.07
1.2;9.5;0.2;0.1;0.3;0;0;0.5;0.4;0;0;0;6.17
0.3;6.4;0.1;0.1;0.7;0;0;0.4;0.1;0;0;0;6.15
0.8;9.5;0.1;0.3;0.4;0.1;0.1;0.4;0;0.2;0;0.2;6.28
0.9;5.4;0.1;0.3;0.1;0.3;0.1;0.1;0.3;0;0;0;6.15
0.8;6.7;0.5;1.1;0.2;0;0;0.5;0.1;0.1;0;0;6.18
1.1;6.9;0.1;0.4;0.4;0;0.1;0.6;0.3;0.1;0;0;6.26
0.6;7.7;0.4;0.5;0.1;0.1;0;0;0;0;0;0.1;6.11
0.4;4.9;0.6;0.6;0.4;0;0;0.3;0;0;0;0;6.17
1.2;7.8;0.3;0.6;0.3;0.2;0;0;0;0.1;0;0.1;6.22
0.6;5.4;0.5;0.3;0.3;0.1;0;0.4;0.3;0;0;0;6.18
1.4;6.5;0.5;0.2;0.1;0.2;0;0.6;0.2;0;0;0;6.17
1.3;7.5;0.5;0.2;0.5;0.2;0;0.2;0.3;0;0;0;6.12
3;10;0;0;0;1;0;0;0;0;0;0;6.07
1.1;5.6;0.4;0.3;0;0.2;0.1;0.5;0.4;0;0;0.1;6.22
0.7;6.5;0.2;0.5;0.2;0;0;0.3;0;0;0;0;6.12
1;4;0;0;0;0;0;0;0;0;0;0;6.02
1;5;0.4;0.3;0.2;0.3;0;0.6;0.3;0;0;0.1;6.14
1.7;6;0.7;0.2;0.5;0;0;0.3;0.3;0.2;0;0;6.22
1;5;0;0;0;0;0;0;1;0;0;0;6
1.1;5.3;0.5;0.4;0.3;0.3;0;0.6;0.2;0;0;0.1;6.19
0.5;5.2;1;0.2;0.3;0.2;0;0;0;0;0;0;6.02
2;10;1;0;0;1;0;2;1;0;1;0;6.03
1;5.2;0.3;0.3;0.2;0.1;0.1;0.5;0.3;0.1;0;0.1;6.27
0.5;3;0.3;0.5;0.3;0.3;0;0;0;0;0;0;6.08
2;2;1;0;0;1;0;1;0;0;0;0;6.01
1.1;5.7;0.6;0.3;0.3;0.2;0;0.5;0.2;0;0;0.1;6.34
1.2;4;1.5;0.2;0.5;0.3;0;0.5;0.3;0;0;0.2;6.22
2;0;0;0;0;0;0;2;0;0;0;0;6.16
0.9;6.1;0.7;0.2;0.1;0.3;0;0.1;0.1;0;0;0;6.09
1.3;6.5;0.3;0.2;0.2;0.2;0;0.;0;0;0;0;6.09
0.5;5.7;0.4;0.4;0.4;0.2;0.1;0.2;0.1;0.1;0;0.1;6.22
1;5.7;0.3;0.3;0.2;0;0;0;0;0;0;0;6.14
1.4;5.7;0.1;0.5;0.1;0;0.1;0.3;0.1;0.1;0;0.1;6.18
1.2;6.8;1.2;0.2;0.3;0.2;0;0.3;0.2;0.2;0;0;6.15
1.2;4.2;0.5;0.4;0.3;0.2;0;0.2;0;0;0;0;6.21
0.5;6.5;0.7;0.2;0.2;0;0;0.2;0.3;0;0;0;6.12
0.6;3.4;0.1;0.2;0.3;0.1;0;0.1;0.2;0;0;0.1;6.17
0.3;3.7;0.2;0.2;0;0.3;0;0;0;0;0;0;5.98
0.9;4.3;0.8;0.3;0.3;0.4;0;0.2;0.2;0;0.1;0.1;6.22
1.2;5.7;0.5;0.5;0.2;0.2;0;0;0.5;0;0;0;6.11
1.3;6.7;0.7;0;0.3;0;0;0.3;1;0;0;0;6.18
1.5;4.3;0.6;0.2;0.3;0.2;0;0.2;0.1;0;0.1;0.1;6.14
2;3.7;0.3;0;0;0;0;0.3;0;0;0;0.3;6.04
1.5;3.7;0.5;0.6;0.5;0.2;0;0.4;0.2;0;0.1;0;6.11
1.3;8;0;0;0;0;0;0.3;0;0;0.3;0;6.18
1.7;4.8;0.3;0.3;0.6;0.4;0;0.4;0.1;0;0;0.2;6.31
0;5.7;1.3;1;0;0;0;0.3;0;0;0;0;6.02
0;4.9;0.4;0.1;0.7;0.2;0;0.5;0.3;0;0;0.1;6.23
1.7;3.7;0;0;0.7;0.3;0.3;0.3;0.7;0;0;0;6.29
1.3;4.2;0.5;0.1;0.3;0.3;0;0.2;0.5;0;0;0.1;6.13
0.7;6.3;0;1;0.3;0;0;0;0;0;0.3;0.7;6.09
